Year,County,Sex,Occupation_String,Occode,HISCO_x,Count,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation
1901,SUFFOLK,Male,tailor and draper travelling,655,41010,1,41025,CLOTHIERS & OUTFITTERS (IE DEALERS AND MERCHANTS),Working Proprietor (Wholesale or Retail Trade),complex,tailor and draper travelling,clothing_footwear,0.81,False,multiple_occupation_excluded_from_llm_check,[],True
1901,LANCASHIRE,Male,plumber glazier and gas fitter,425,87130,2,87110,"PLUMBER, PIPE FITTER","Pipe Fitter, General",complex,plumber glazier and gas fitter,building_construction,0.81,False,multiple_occupation_excluded_from_llm_check,[],True
1901,LANCASHIRE,Male,butcher and shop man,681,77340,1,77320,SLAUGHTERER,Slaughterer,,butcher and shop man,food_drink,0.81,False,multiple_occupation_excluded_from_llm_check,[],True
1901,YORKSHIRE WEST RIDING,Male,slater and plasterer,416,95320,10,95320,SLATERS & TILERS,Slate and Tile Roofer,,slater and plasterer,building_construction,0.81,False,multiple_occupation_excluded_from_llm_check,[],True
1901,WARWICKSHIRE,Male,brass and glass packer,379,41015,1,41020,LEAD DEALERS,Working Proprietor (Wholesale Trade),,brass and glass packer,other,0.81,False,multiple_occupation_excluded_from_llm_check,[],True
1901,SOMERSET,Male,carpenter and wheelwright,409,95410,4,95420,"CARPENTER, JOINER",Construction Joiner,,carpenter and wheelwright,building_construction,0.81,False,multiple_occupation_excluded_from_llm_check,[],True
1901,CORNWALL,Male,manager of iron foundry and rock drill works,259,72400,1,72420,"IRONFOUNDER -- MOULDERS, CORE MAKERS, FETTER, CUPOLA, OVERN-MAN, FOUNDRY LABOURER, OTHER & UNDEFINED",Metal Pourer,,manager of iron foundry and rock drill works,other,0.81,False,multiple_occupation_excluded_from_llm_check,[],True
1901,CARDIGANSHIRE,Male,inn keeper and farmer,173,61110,2,61110,"FARMER, GRAZIER",General Farmer,complex,inn keeper and farmer,agricultural,0.81,False,multiple_occupation_excluded_from_llm_check,[],True
