Year,County,Sex,Occupation_String,Occode,HISCO_x,Count,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation,all_predicted_hisco,prediction_count,prediction_details
1901,SUFFOLK,Male,tailor and draper travelling,655,41010,1,41025,CLOTHIERS & OUTFITTERS (IE DEALERS AND MERCHANTS),Working Proprietor (Wholesale or Retail Trade),complex,tailor and draper travelling,clothing_footwear,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[7110, np.float32(0.3005349), 'Professional Nurse, General']]; []",2,"[{'hisco': ""[[7110, np.float32(0.3005349), 'Professional Nurse, General']]"", 'split_index': 0, 'occupation': 'tailor'}, {'hisco': '[]', 'split_index': 1, 'occupation': 'draper travelling'}]"
1901,LANCASHIRE,Male,plumber glazier and gas fitter,425,87130,2,87110,"PLUMBER, PIPE FITTER","Pipe Fitter, General",complex,plumber glazier and gas fitter,building_construction,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[]; [[84290, np.float32(0.47370967), 'Other Watch, Clock and Precision Instrument Makers']]",2,"[{'hisco': '[]', 'split_index': 0, 'occupation': 'plumber glazier'}, {'hisco': ""[[84290, np.float32(0.47370967), 'Other Watch, Clock and Precision Instrument Makers']]"", 'split_index': 1, 'occupation': 'gas fitter'}]"
1901,LANCASHIRE,Male,butcher and shop man,681,77340,1,77320,SLAUGHTERER,Slaughterer,,butcher and shop man,food_drink,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[77310, np.float32(0.93761545), 'Butcher, General']]; []",2,"[{'hisco': ""[[77310, np.float32(0.93761545), 'Butcher, General']]"", 'split_index': 0, 'occupation': 'butcher'}, {'hisco': '[]', 'split_index': 1, 'occupation': 'shop man'}]"
1901,YORKSHIRE WEST RIDING,Male,slater and plasterer,416,95320,10,95320,SLATERS & TILERS,Slate and Tile Roofer,,slater and plasterer,building_construction,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,[]; [],2,"[{'hisco': '[]', 'split_index': 0, 'occupation': 'slater'}, {'hisco': '[]', 'split_index': 1, 'occupation': 'plasterer'}]"
1901,WARWICKSHIRE,Male,brass and glass packer,379,41015,1,41020,LEAD DEALERS,Working Proprietor (Wholesale Trade),,brass and glass packer,other,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[72000, np.float32(0.22305232), 'Metal Processor, Specialisation Unknown'], [83520, np.float32(0.63750017), 'Buffing and PolishingMachine Operator']]; [[77650, np.float32(0.94308966), 'Chocolate Maker']]",2,"[{'hisco': ""[[72000, np.float32(0.22305232), 'Metal Processor, Specialisation Unknown'], [83520, np.float32(0.63750017), 'Buffing and PolishingMachine Operator']]"", 'split_index': 0, 'occupation': 'brass'}, {'hisco': ""[[77650, np.float32(0.94308966), 'Chocolate Maker']]"", 'split_index': 1, 'occupation': 'glass packer'}]"
1901,SOMERSET,Male,carpenter and wheelwright,409,95410,4,95420,"CARPENTER, JOINER",Construction Joiner,,carpenter and wheelwright,building_construction,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[37040, np.float32(0.25858045), 'Messenger']]; [[54090, np.float32(0.33927828), 'Other Maids and Related Housekeeping Service Workers']]",2,"[{'hisco': ""[[37040, np.float32(0.25858045), 'Messenger']]"", 'split_index': 0, 'occupation': 'carpenter'}, {'hisco': ""[[54090, np.float32(0.33927828), 'Other Maids and Related Housekeeping Service Workers']]"", 'split_index': 1, 'occupation': 'wheelwright'}]"
1901,CORNWALL,Male,manager of iron foundry and rock drill works,259,72400,1,72420,"IRONFOUNDER -- MOULDERS, CORE MAKERS, FETTER, CUPOLA, OVERN-MAN, FOUNDRY LABOURER, OTHER & UNDEFINED",Metal Pourer,,manager of iron foundry and rock drill works,other,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[72000, np.float32(0.8394454), 'Metal Processor, Specialisation Unknown']]; [[71300, np.float32(0.332659), 'WellDrillers, Borers and Related Workers']]",2,"[{'hisco': ""[[72000, np.float32(0.8394454), 'Metal Processor, Specialisation Unknown']]"", 'split_index': 0, 'occupation': 'manager of iron foundry'}, {'hisco': ""[[71300, np.float32(0.332659), 'WellDrillers, Borers and Related Workers']]"", 'split_index': 1, 'occupation': 'rock drill works'}]"
1901,CARDIGANSHIRE,Male,inn keeper and farmer,173,61110,2,61110,"FARMER, GRAZIER",General Farmer,complex,inn keeper and farmer,agricultural,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,"[[51020, np.float32(0.99033654), 'Working Proprietor (Hotel and Restaurant)']]; [[61110, np.float32(0.593702), 'General Farmer']]",2,"[{'hisco': ""[[51020, np.float32(0.99033654), 'Working Proprietor (Hotel and Restaurant)']]"", 'split_index': 0, 'occupation': 'inn keeper'}, {'hisco': ""[[61110, np.float32(0.593702), 'General Farmer']]"", 'split_index': 1, 'occupation': 'farmer'}]"
